Accession	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Protein	Country	Host	Collection_Date
YP_002956101.1	Cosavirus A	Cosavirus	Picornaviridae	ssRNA(+)	30	complete	2A		Homo sapiens	
YP_002956102.1	Cosavirus A	Cosavirus	Picornaviridae	ssRNA(+)	121	complete	2B		Homo sapiens	
YP_002956103.1	Cosavirus A	Cosavirus	Picornaviridae	ssRNA(+)	321	complete	3C		Homo sapiens	
YP_002956104.1	Cosavirus A	Cosavirus	Picornaviridae	ssRNA(+)	108	complete	3A		Homo sapiens	
YP_002956105.1	Cosavirus A	Cosavirus	Picornaviridae	ssRNA(+)	19	complete	3B		Homo sapiens	
YP_002956106.1	Cosavirus A	Cosavirus	Picornaviridae	ssRNA(+)	203	complete	3C		Homo sapiens	
YP_002956107.1	Cosavirus A	Cosavirus	Picornaviridae	ssRNA(+)	463	complete	3D		Homo sapiens	
YP_002956108.1	Cosavirus B	Cosavirus	Picornaviridae	ssRNA(+)	68	complete	VP4	Pakistan	Homo sapiens	
YP_002956109.1	Cosavirus B	Cosavirus	Picornaviridae	ssRNA(+)	271	complete	VP2	Pakistan	Homo sapiens	
YP_002956110.1	Cosavirus B	Cosavirus	Picornaviridae	ssRNA(+)	230	complete	VP3	Pakistan	Homo sapiens	
YP_002956111.1	Cosavirus B	Cosavirus	Picornaviridae	ssRNA(+)	298	complete	VP1	Pakistan	Homo sapiens	
YP_002956112.1	Cosavirus B	Cosavirus	Picornaviridae	ssRNA(+)	31	complete	2A	Pakistan	Homo sapiens	
YP_002956113.1	Cosavirus B	Cosavirus	Picornaviridae	ssRNA(+)	119	complete	2B	Pakistan	Homo sapiens	
YP_002956114.1	Cosavirus B	Cosavirus	Picornaviridae	ssRNA(+)	321	complete	3C	Pakistan	Homo sapiens	
YP_002956115.1	Cosavirus B	Cosavirus	Picornaviridae	ssRNA(+)	102	complete	3A	Pakistan	Homo sapiens	
YP_002956116.1	Cosavirus B	Cosavirus	Picornaviridae	ssRNA(+)	19	complete	3B	Pakistan	Homo sapiens	
YP_002956117.1	Cosavirus B	Cosavirus	Picornaviridae	ssRNA(+)	203	complete	3C	Pakistan	Homo sapiens	
YP_002956118.1	Cosavirus B	Cosavirus	Picornaviridae	ssRNA(+)	462	complete	3D	Pakistan	Homo sapiens	
YP_002956119.1	Cosavirus D	Cosavirus	Picornaviridae	ssRNA(+)	68	complete	VP4	Pakistan	Homo sapiens	
YP_002956120.1	Cosavirus D	Cosavirus	Picornaviridae	ssRNA(+)	270	complete	VP2	Pakistan	Homo sapiens	
YP_002956121.1	Cosavirus D	Cosavirus	Picornaviridae	ssRNA(+)	231	complete	VP3	Pakistan	Homo sapiens	
YP_002956122.1	Cosavirus D	Cosavirus	Picornaviridae	ssRNA(+)	294	complete	VP1	Pakistan	Homo sapiens	
YP_002956123.1	Cosavirus D	Cosavirus	Picornaviridae	ssRNA(+)	30	complete	2A	Pakistan	Homo sapiens	
YP_002956124.1	Cosavirus D	Cosavirus	Picornaviridae	ssRNA(+)	120	complete	2B	Pakistan	Homo sapiens	
YP_002956125.1	Cosavirus D	Cosavirus	Picornaviridae	ssRNA(+)	321	complete	3C	Pakistan	Homo sapiens	
YP_002956126.1	Cosavirus D	Cosavirus	Picornaviridae	ssRNA(+)	108	complete	3A	Pakistan	Homo sapiens	
YP_002956127.1	Cosavirus D	Cosavirus	Picornaviridae	ssRNA(+)	19	complete	3B	Pakistan	Homo sapiens	
YP_002956128.1	Cosavirus D	Cosavirus	Picornaviridae	ssRNA(+)	203	complete	3C	Pakistan	Homo sapiens	
YP_002956129.1	Cosavirus D	Cosavirus	Picornaviridae	ssRNA(+)	462	complete	3D	Pakistan	Homo sapiens	
YP_002929490.1	Lujo mammarenavirus	Mammarenavirus	Arenaviridae	ssRNA(+/-)	454	complete	glycoprotein precursor	South Africa	Homo sapiens	2008-10
YP_002929491.1	Lujo mammarenavirus	Mammarenavirus	Arenaviridae	ssRNA(+/-)	558	complete	nucleocapsid protein	South Africa	Homo sapiens	2008-10
YP_002929492.1	Lujo mammarenavirus	Mammarenavirus	Arenaviridae	ssRNA(+/-)	95	complete	multifunctional matrix-like protein	South Africa	Homo sapiens	2008-10
YP_002929493.1	Lujo mammarenavirus	Mammarenavirus	Arenaviridae	ssRNA(+/-)	2234	complete	large RNA-dependent RNA polymerase	South Africa	Homo sapiens	2008-10
YP_002916059.1	Primate bocaparvovirus 2	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	776	complete	non structural protein NS2	Nigeria	Homo sapiens	2007-04-10
YP_002916060.1	Primate bocaparvovirus 2	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	640	complete	non structural protein NS1	Nigeria	Homo sapiens	2007-04-10
YP_002916061.1	Primate bocaparvovirus 2	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	214	complete	NP1	Nigeria	Homo sapiens	2007-04-10
YP_002916062.1	Primate bocaparvovirus 2	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	670	complete	capsid protein VP1	Nigeria	Homo sapiens	2007-04-10
YP_002916063.1	Primate bocaparvovirus 2	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	541	complete	capsid protein VP2	Nigeria	Homo sapiens	2007-04-10
YP_002808454.1	Primate bocaparvovirus 1	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	661	complete	NS1	Australia	Homo sapiens	2001-08
YP_002808455.1	Primate bocaparvovirus 1	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	218	complete	NP1	Australia	Homo sapiens	2001-08
YP_002808456.1	Primate bocaparvovirus 1	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	668	complete	VP1	Australia	Homo sapiens	2001-08
YP_002808457.1	Primate bocaparvovirus 1	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	539	complete	VP2	Australia	Homo sapiens	2001-08
YP_002802310.2	Human betaherpesvirus 5	Cytomegalovirus	Herpesviridae	dsDNA	70	complete	envelope glycoprotein 24	United Kingdom	Homo sapiens	1999
YP_002640218.1	Human mastadenovirus A	Mastadenovirus	Adenoviridae	dsDNA	188	complete	core protein precursor pVII		Homo sapiens	
YP_002640219.1	Human mastadenovirus A	Mastadenovirus	Adenoviridae	dsDNA	182	complete	encapsidation protein 22K		Homo sapiens	
YP_002640220.1	Human mastadenovirus A	Mastadenovirus	Adenoviridae	dsDNA	264	complete	membrane glycoprotein E3 CR1-alpha		Homo sapiens	
YP_002640221.1	Human mastadenovirus A	Mastadenovirus	Adenoviridae	dsDNA	268	complete	membrane glycoprotein E3 CR1-beta		Homo sapiens	
YP_002640222.1	Human mastadenovirus A	Mastadenovirus	Adenoviridae	dsDNA	52	complete	protein U		Homo sapiens	
YP_002640223.1	Human mastadenovirus A	Mastadenovirus	Adenoviridae	dsDNA	131	complete	control protein E4orf2		Homo sapiens	
YP_002640224.1	Human mastadenovirus A	Mastadenovirus	Adenoviridae	dsDNA	127	complete	control protein E4orf1		Homo sapiens	
YP_002586773.1	Primate bocaparvovirus 2	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	640	complete	NS1	Pakistan	Homo sapiens	
YP_002586774.1	Primate bocaparvovirus 2	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	214	complete	NP1	Pakistan	Homo sapiens	
YP_002586775.1	Primate bocaparvovirus 2	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	667	complete	VP1	Pakistan	Homo sapiens	
YP_002586776.1	Primate bocaparvovirus 2	Bocaparvovirus	Parvoviridae	ssDNA(+/-)	538	complete	VP2	Pakistan	Homo sapiens	
YP_002455784.1	Human T-lymphotropic virus 4	Deltaretrovirus	Retroviridae	ssRNA-RT	424	complete	group specific antigen	Cameroon	Homo sapiens	
YP_002455785.1	Human T-lymphotropic virus 4	Deltaretrovirus	Retroviridae	ssRNA-RT	213	complete	protease	Cameroon	Homo sapiens	
YP_002455786.1	Human T-lymphotropic virus 4	Deltaretrovirus	Retroviridae	ssRNA-RT	908	complete	polymerase	Cameroon	Homo sapiens	
YP_002455787.1	Human T-lymphotropic virus 4	Deltaretrovirus	Retroviridae	ssRNA-RT	170	complete	rex protein	Cameroon	Homo sapiens	
YP_002455788.1	Human T-lymphotropic virus 4	Deltaretrovirus	Retroviridae	ssRNA-RT	345	complete	tax protein	Cameroon	Homo sapiens	
YP_002455789.1	Human T-lymphotropic virus 4	Deltaretrovirus	Retroviridae	ssRNA-RT	485	complete	envelope glycoprotein	Cameroon	Homo sapiens	
YP_002213765.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	261	complete	control protein E1A		Homo sapiens	
YP_002213766.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	178	complete	control protein E1B 19K		Homo sapiens	
YP_002213767.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	492	complete	control protein E1B 55K		Homo sapiens	
YP_002213768.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	138	complete	capsid protein IX		Homo sapiens	
YP_002213771.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	139	complete	protein 13.6K		Homo sapiens	
YP_002213772.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	385	complete	encapsidation protein 52K		Homo sapiens	
YP_002213773.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	588	complete	capsid protein precursor pIIIa		Homo sapiens	
YP_002213774.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	544	complete	penton base		Homo sapiens	
YP_002213775.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	192	complete	core protein precursor pVII		Homo sapiens	
YP_002213776.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	349	complete	core protein V		Homo sapiens	
YP_002213777.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	75	complete	core protein precursor pX		Homo sapiens	
YP_002213778.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	250	complete	capsid protein precursor pVI		Homo sapiens	
YP_002213779.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	944	complete	hexon		Homo sapiens	
YP_002213780.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	209	complete	protease		Homo sapiens	
YP_002213782.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	828	complete	hexon assembly protein 100K		Homo sapiens	
YP_002213783.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	234	complete	protein 33K		Homo sapiens	
YP_002213784.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	199	complete	encapsidation protein 22K		Homo sapiens	
YP_002213785.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	227	complete	capsid protein precursor pVIII		Homo sapiens	
YP_002213786.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	106	complete	control protein E3 12.5K		Homo sapiens	
YP_002213787.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	146	complete	membrane glycoprotein E3 CR1-alpha		Homo sapiens	
YP_002213788.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	172	complete	membrane glycoprotein E3 gp19K		Homo sapiens	
YP_002213789.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	179	complete	membrane glycoprotein E3 CR1-beta		Homo sapiens	
YP_002213790.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	189	complete	membrane glycoprotein E3 CR1-gamma		Homo sapiens	
YP_002213791.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	77	complete	membrane protein E3 CR1-delta		Homo sapiens	
YP_002213792.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	91	complete	membrane protein E3 RID-alpha		Homo sapiens	
YP_002213793.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	134	complete	membrane protein E3 RID-beta		Homo sapiens	
YP_002213794.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	136	complete	control protein E3 14.7K		Homo sapiens	
YP_002213796.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	319	complete	fiber		Homo sapiens	
YP_002213798.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	262	complete	control protein E1A		Homo sapiens	
YP_002213799.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	180	complete	control protein E1B 19K		Homo sapiens	
YP_002213800.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	494	complete	control protein E1B 55K		Homo sapiens	
YP_002213801.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	139	complete	capsid protein IX		Homo sapiens	
YP_002213804.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	139	complete	protein 13.6K		Homo sapiens	
YP_002213805.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	388	complete	encapsidation protein 52K		Homo sapiens	
YP_002213806.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	587	complete	capsid protein precursor pIIIa		Homo sapiens	
YP_002213807.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	561	complete	penton base		Homo sapiens	
YP_002213808.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	192	complete	core protein precursor pVII		Homo sapiens	
YP_002213809.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	351	complete	core protein V		Homo sapiens	
YP_002213810.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	76	complete	core protein precursor pX		Homo sapiens	
YP_002213811.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	246	complete	capsid protein precursor pVI		Homo sapiens	
YP_002213812.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	948	complete	hexon		Homo sapiens	
YP_002213813.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	209	complete	protease		Homo sapiens	
YP_002213815.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	812	complete	hexon assembly protein 100K		Homo sapiens	
YP_002213816.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	226	complete	protein 33K		Homo sapiens	
YP_002213817.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	191	complete	encapsidation protein 22K		Homo sapiens	
YP_002213818.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	227	complete	capsid protein precursor pVIII		Homo sapiens	
YP_002213819.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	105	complete	control protein E3 12.5K		Homo sapiens	
YP_002213820.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	131	complete	membrane glycoprotein E3 CR1-alpha		Homo sapiens	
YP_002213821.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	166	complete	membrane glycoprotein E3 gp19K		Homo sapiens	
YP_002213822.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	181	complete	membrane glycoprotein E3 CR1-beta		Homo sapiens	
YP_002213823.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	187	complete	membrane glycoprotein E3 CR1-gamma		Homo sapiens	
YP_002213824.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	91	complete	membrane protein E3 RID-alpha		Homo sapiens	
YP_002213825.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	134	complete	membrane protein E3 RID-beta		Homo sapiens	
YP_002213826.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	135	complete	control protein E3 14.7K		Homo sapiens	
YP_002213828.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	325	complete	fiber		Homo sapiens	
YP_002213830.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	448	complete	encapsidation protein IVa2		Homo sapiens	
YP_002213831.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	1193	complete	DNA polymerase		Homo sapiens	
YP_002213832.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	658	complete	terminal protein precursor pTP		Homo sapiens	
YP_002213833.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	517	complete	single-stranded DNA-binding protein		Homo sapiens	
YP_002213834.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	52	complete	protein U		Homo sapiens	
YP_002213835.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	141	complete	control protein E4orf6/7		Homo sapiens	
YP_002213836.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	299	complete	control protein E4 34K		Homo sapiens	
YP_002213837.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	122	complete	control protein E4orf4		Homo sapiens	
YP_002213838.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	117	complete	control protein E4orf3		Homo sapiens	
YP_002213839.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	129	complete	control protein E4orf2		Homo sapiens	
YP_002213840.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	125	complete	control protein E4orf1		Homo sapiens	
YP_002213841.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	448	complete	encapsidation protein IVa2		Homo sapiens	
YP_002213842.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	1193	complete	DNA polymerase		Homo sapiens	
YP_002213843.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	656	complete	terminal protein precursor pTP		Homo sapiens	
YP_002213845.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	53	complete	protein U		Homo sapiens	
YP_002213846.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	141	complete	control protein E4orf6/7		Homo sapiens	
YP_002213847.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	299	complete	control protein E4 34K		Homo sapiens	
YP_002213848.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	122	complete	control protein E4orf4		Homo sapiens	
YP_002213849.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	117	complete	control protein E4orf3		Homo sapiens	
YP_002213850.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	129	complete	control protein E4orf2		Homo sapiens	
YP_002213851.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	125	complete	control protein E4orf1		Homo sapiens	
YP_002213852.1	Human mastadenovirus B	Mastadenovirus	Adenoviridae	dsDNA	518	complete	single-stranded DNA-binding protein		Homo sapiens	
YP_001974422.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	251	complete	control protein E1A		Homo sapiens	
YP_001974423.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	182	complete	control protein E1B 19K		Homo sapiens	
YP_001974424.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	134	complete	capsid protein IX		Homo sapiens	
YP_001974425.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	448	complete	encapsidation protein IVa2		Homo sapiens	
YP_001974426.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	1176	complete	DNA polymerase		Homo sapiens	
YP_001974427.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	489	complete	single-stranded DNA-binding protein		Homo sapiens	
YP_001974428.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	519	complete	penton base		Homo sapiens	
YP_001974429.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	235	complete	capsid protein precursor pVI		Homo sapiens	
YP_001974431.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	732	complete	hexon assembly protein 100K		Homo sapiens	
YP_001974432.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	106	complete	control protein E3 12.5K		Homo sapiens	
YP_001974433.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	48	complete	protein U		Homo sapiens	
YP_001974434.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	362	complete	fiber		Homo sapiens	
YP_001974446.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	495	complete	control protein E1B 55K		Homo sapiens	
YP_001974448.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	374	complete	encapsidation protein 52K		Homo sapiens	
YP_001974449.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	559	complete	capsid protein precursor pIIIa		Homo sapiens	
YP_001974450.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	194	complete	core protein precursor pVII		Homo sapiens	
YP_001974451.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	334	complete	core protein V		Homo sapiens	
YP_001974452.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	74	complete	core protein precursor pX		Homo sapiens	
YP_001974453.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	943	complete	hexon		Homo sapiens	
YP_001974454.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	209	complete	protease		Homo sapiens	
YP_001974455.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	173	complete	protein 33K		Homo sapiens	
YP_001974456.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	137	complete	encapsidation protein 22K		Homo sapiens	
YP_001974457.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	227	complete	capsid protein precursor pVIII		Homo sapiens	
YP_001974458.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	196	complete	membrane glycoprotein E3 CR1-alpha		Homo sapiens	
YP_001974459.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	167	complete	membrane glycoprotein E3 gp19K		Homo sapiens	
YP_001974460.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	409	complete	membrane glycoprotein E3 CR1-beta		Homo sapiens	
YP_001974461.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	262	complete	membrane glycoprotein E3 CR1-gamma		Homo sapiens	
YP_001974462.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	91	complete	membrane protein E3 RID-alpha		Homo sapiens	
YP_001974463.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	129	complete	membrane protein E3 RID-beta		Homo sapiens	
YP_001974464.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	130	complete	control protein E3 14.7K		Homo sapiens	
YP_001974467.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	129	complete	protein 13.6K		Homo sapiens	
YP_001974468.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	635	complete	terminal protein precursor pTP		Homo sapiens	
YP_001974469.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	130	complete	control protein E4orf6/7		Homo sapiens	
YP_001974470.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	292	complete	control protein E4 34K		Homo sapiens	
YP_001974471.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	120	complete	control protein E4orf4		Homo sapiens	
YP_001974472.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	117	complete	control protein E4orf3		Homo sapiens	
YP_001974473.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	130	complete	control protein E4orf2		Homo sapiens	
YP_001974474.1	Human mastadenovirus D	Mastadenovirus	Adenoviridae	dsDNA	125	complete	control protein E4orf1		Homo sapiens	
YP_001856241.1	Human immunodeficiency virus 1	Lentivirus	Retroviridae	ssRNA-RT	99	complete	retropepsin		Homo sapiens	
YP_001856242.1	Human immunodeficiency virus 1	Lentivirus	Retroviridae	ssRNA-RT	560	complete	reverse transcriptase		Homo sapiens	
YP_001856243.1	Human immunodeficiency virus 1	Lentivirus	Retroviridae	ssRNA-RT	288	complete	integrase		Homo sapiens	
YP_001816782.1	Chapare mammarenavirus	Mammarenavirus	Arenaviridae	ssRNA(+/-)	484	complete	glycoprotein precursor	Bolivia	Homo sapiens	2003
YP_001816783.1	Chapare mammarenavirus	Mammarenavirus	Arenaviridae	ssRNA(+/-)	562	complete	nucleocapsid protein	Bolivia	Homo sapiens	2003
YP_001816784.1	Chapare mammarenavirus	Mammarenavirus	Arenaviridae	ssRNA(+/-)	98	complete	Z protein	Bolivia	Homo sapiens	2003
YP_001816785.1	Chapare mammarenavirus	Mammarenavirus	Arenaviridae	ssRNA(+/-)	2208	complete	L polymerase	Bolivia	Homo sapiens	2003
YP_001551766.1	Human mastadenovirus C	Mastadenovirus	Adenoviridae	dsDNA	80	complete	core protein precursor pX		Homo sapiens	
YP_001551767.1	Human mastadenovirus C	Mastadenovirus	Adenoviridae	dsDNA	195	complete	encapsidation protein 22K		Homo sapiens	
YP_001551768.1	Human mastadenovirus C	Mastadenovirus	Adenoviridae	dsDNA	107	complete	control protein E3 12.5K		Homo sapiens	
YP_001551769.1	Human mastadenovirus C	Mastadenovirus	Adenoviridae	dsDNA	61	complete	membrane glycoprotein E3 CR1-alpha		Homo sapiens	
YP_001551770.1	Human mastadenovirus C	Mastadenovirus	Adenoviridae	dsDNA	91	complete	membrane protein E3 RID-alpha		Homo sapiens	
YP_001551771.1	Human mastadenovirus C	Mastadenovirus	Adenoviridae	dsDNA	130	complete	membrane protein E3 RID-beta		Homo sapiens	
YP_001551772.1	Human mastadenovirus C	Mastadenovirus	Adenoviridae	dsDNA	150	complete	control protein E4orf6/7		Homo sapiens	
YP_001551773.1	Human mastadenovirus C	Mastadenovirus	Adenoviridae	dsDNA	114	complete	control protein E4orf4		Homo sapiens	
YP_001551774.1	Human mastadenovirus C	Mastadenovirus	Adenoviridae	dsDNA	130	complete	control protein E4orf2		Homo sapiens	
YP_001469631.1	Hepacivirus C	Hepacivirus	Flaviviridae	ssRNA(+)	3021	partial	polyprotein	New Zealand	Homo sapiens	
YP_001469632.1	Hepacivirus C	Hepacivirus	Flaviviridae	ssRNA(+)	3008	partial	polyprotein	Egypt	Homo sapiens	
YP_001469633.1	Hepacivirus C	Hepacivirus	Flaviviridae	ssRNA(+)	3014	partial	polyprotein	United Kingdom	Homo sapiens	
YP_001285393.1	Lyssavirus helsinki	Lyssavirus	Rhabdoviridae	ssRNA(-)	451	complete	nucleoprotein	United Kingdom	Homo sapiens	2002
YP_001285394.2	Lyssavirus helsinki	Lyssavirus	Rhabdoviridae	ssRNA(-)	297	complete	phosphoprotein	United Kingdom	Homo sapiens	2002
YP_001285395.1	Lyssavirus helsinki	Lyssavirus	Rhabdoviridae	ssRNA(-)	202	complete	matrix protein	United Kingdom	Homo sapiens	2002
YP_001285396.1	Lyssavirus helsinki	Lyssavirus	Rhabdoviridae	ssRNA(-)	524	complete	glycoprotein	United Kingdom	Homo sapiens	2002
YP_001285397.1	Lyssavirus helsinki	Lyssavirus	Rhabdoviridae	ssRNA(-)	2127	complete	L protein	United Kingdom	Homo sapiens	2002
YP_001129350.1	Human gammaherpesvirus 8	Rhadinovirus	Herpesviridae	dsDNA	279	complete	K1	Greece	Homo sapiens	
YP_001129351.1	Human gammaherpesvirus 8	Rhadinovirus	Herpesviridae	dsDNA	550	complete	KCP	Greece	Homo sapiens	
YP_001129352.1	Human gammaherpesvirus 8	Rhadinovirus	Herpesviridae	dsDNA	1132	complete	ORF6	Greece	Homo sapiens	
